Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-25T00:00+01:00;2023-03-26T00:00+01:00;25.03.2023;4;4107;100;24;24;0;0;100;3954;153;70;34;41;8;8;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-25T00:00+01:00;2023-03-26T00:00+01:00;25.03.2023;Totalt i retning HANSJORDNESBUKTA;5318;100;24;24;0;0;100;5143;175;81;43;43;8;8;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-25T00:00+01:00;2023-03-26T00:00+01:00;25.03.2023;Totalt i retning LANGNESTUNNELEN;4681;100;24;24;0;0;100;4478;203;95;49;45;14;14;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-25T00:00+01:00;2023-03-26T00:00+01:00;25.03.2023;Totalt;9999;100;24;24;0;0;100;9621;378;176;92;88;22;22;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-26T00:00+01:00;2023-03-27T00:00+02:00;26.03.2023;1;3748;99,6;23;23;0;0;100;3537;211;79;56;54;22;22;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-26T00:00+01:00;2023-03-27T00:00+02:00;26.03.2023;2;866;99,6;23;23;0;1;99,88;850;15;5;7;3;0;0;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-26T00:00+01:00;2023-03-27T00:00+02:00;26.03.2023;4;2842;99,6;23;23;0;0;100;2709;133;58;21;44;10;10;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-26T00:00+01:00;2023-03-27T00:00+02:00;26.03.2023;Totalt i retning HANSJORDNESBUKTA;3707;99,6;23;23;0;0;100;3559;148;63;28;47;10;10;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-26T00:00+01:00;2023-03-27T00:00+02:00;26.03.2023;Totalt i retning LANGNESTUNNELEN;3749;99,6;23;23;0;1;99,97;3537;211;79;56;54;22;22;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-26T00:00+01:00;2023-03-27T00:00+02:00;26.03.2023;Totalt;7456;99,6;23;23;0;1;99,99;7096;359;142;84;101;32;32;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-27T00:00+02:00;2023-03-28T00:00+02:00;27.03.2023;1;5634;98,6;24;24;0;0;100;5187;447;178;135;92;42;42;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-27T00:00+02:00;2023-03-28T00:00+02:00;27.03.2023;2;1596;98,6;24;24;0;1;99,94;1510;85;36;42;5;2;2;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-27T00:00+02:00;2023-03-28T00:00+02:00;27.03.2023;4;4189;98,6;24;24;0;0;100;3807;382;144;115;93;30;30;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-27T00:00+02:00;2023-03-28T00:00+02:00;27.03.2023;Totalt i retning HANSJORDNESBUKTA;5785;98,6;24;24;0;1;99,98;5317;467;180;157;98;32;32;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-27T00:00+02:00;2023-03-28T00:00+02:00;27.03.2023;Totalt i retning LANGNESTUNNELEN;5634;98,6;24;24;0;0;100;5187;447;178;135;92;42;42;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-27T00:00+02:00;2023-03-28T00:00+02:00;27.03.2023;Totalt;11419;98,6;24;24;0;1;99,99;10504;914;358;292;190;74;74;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-28T00:00+02:00;2023-03-29T00:00+02:00;28.03.2023;1;5916;98;24;24;0;1;99,98;5417;498;194;172;88;44;44;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-28T00:00+02:00;2023-03-29T00:00+02:00;28.03.2023;2;1655;98;24;24;0;1;99,94;1561;93;48;43;1;1;1;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-28T00:00+02:00;2023-03-29T00:00+02:00;28.03.2023;4;4440;98;24;24;0;2;99,95;4102;336;133;116;64;23;23;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-28T00:00+02:00;2023-03-29T00:00+02:00;28.03.2023;Totalt i retning HANSJORDNESBUKTA;6092;98;24;24;0;3;99,95;5661;428;181;158;65;24;24;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-28T00:00+02:00;2023-03-29T00:00+02:00;28.03.2023;Totalt i retning LANGNESTUNNELEN;5919;98;24;24;0;1;99,98;5419;499;194;173;88;44;44;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-28T00:00+02:00;2023-03-29T00:00+02:00;28.03.2023;Totalt;12011;98;24;24;0;4;99,97;11080;927;375;331;153;68;68;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-29T00:00+02:00;2023-03-30T00:00+02:00;29.03.2023;1;5988;98,2;24;24;0;0;100;5439;549;191;172;131;55;55;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-29T00:00+02:00;2023-03-30T00:00+02:00;29.03.2023;2;1759;98,2;24;24;0;3;99,83;1647;109;35;64;4;6;6;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-29T00:00+02:00;2023-03-30T00:00+02:00;29.03.2023;4;4536;98,2;24;24;0;0;100;4123;413;167;102;118;26;26;0
