Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;3;7361;100,0;24;24;0;5;99,93;7170;186;68;92;20;6;6;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;4;6389;100,0;24;24;0;399;93,75;5419;571;168;97;234;72;61;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;6;2957;100,0;24;24;0;1;99,97;2577;379;97;60;218;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;Totalt i retning Hamna;9787;100,0;24;24;0;32;99,67;9472;283;107;132;32;12;12;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;Totalt i retning Langnestunnelen;12343;100,0;24;24;0;552;95,53;10402;1389;310;227;744;108;95;13
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;Totalt;22130;100,0;24;24;0;584;97,36;19874;1672;417;359;776;120;107;13
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;1;2506;100,0;24;24;0;31;98,76;2376;99;35;49;9;6;6;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;2;3115;100,0;24;24;0;162;94,80;2516;437;38;64;305;30;28;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;3;7988;100,0;24;24;0;3;99,96;7808;177;62;90;14;11;11;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;4;6612;100,0;24;24;0;457;93,09;5598;557;166;101;233;57;47;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;6;3511;100,0;24;24;0;2;99,94;3125;384;95;67;217;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;Totalt i retning Hamna;10497;100,0;24;24;0;35;99,67;10184;278;97;140;23;18;18;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;Totalt i retning Langnestunnelen;13235;100,0;24;24;0;620;95,32;11239;1376;299;231;755;91;79;12
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-04T00:00+01:00;2022-03-05T00:00+01:00;2022-03-04;Totalt;23732;100,0;24;24;0;655;97,24;21423;1654;396;371;778;109;97;12
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;1;1665;100,0;24;24;0;18;98,92;1623;24;8;12;3;1;1;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;2;2168;100,0;24;24;0;11;99,49;1934;223;15;17;189;2;1;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;3;7354;100,0;24;24;0;3;99,96;7267;84;39;35;6;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;4;6401;100,0;24;24;0;45;99,30;5956;400;129;43;200;28;27;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;6;2514;100,0;24;24;0;1;99,96;2290;223;62;22;135;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;Totalt i retning Hamna;9023;100,0;24;24;0;23;99,75;8891;109;47;48;9;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;Totalt i retning Langnestunnelen;11079;100,0;24;24;0;55;99,50;10179;845;206;81;524;34;32;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-05T00:00+01:00;2022-03-06T00:00+01:00;2022-03-05;Totalt;20102;100,0;24;24;0;78;99,61;19070;954;253;129;533;39;37;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;1;1167;100,0;24;24;0;19;98,37;1131;17;5;6;2;4;3;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;2;573;100,0;24;24;0;0;100,00;445;128;5;7;114;2;2;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;3;2003;100,0;24;24;0;1;99,95;1970;32;13;7;5;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;4;2115;100,0;24;24;0;7;99,67;1881;227;34;8;170;15;15;0
